Продукт,Старая цена,Новая цена,Процент скидки,Время акции
"Трусики-подгузники HUGGIES унисекс 5 (13-17), 34шт.",1776.99,899.99,-49%,С 2023-11-15 по 2023-12-12
"Пюре САДЫ ПРИДОНЬЯ цветная капуста, 80г",38.5,28.9,,С 2023-11-22 по 2023-12-05
"Сосиски ВЯЗАНКА МОЛОКУШИ Молочные, 450г",285.7,139.99,-51%,С 2023-11-29 по 2023-12-05
"Молоко ПРОСТОКВАШИНО пастеризованное 2,5%, 0,93л",81.2,64.99,-20%,С 2023-11-29 по 2023-12-05
"ДРОЖЖИ Быстродействующие (Турция), 11г",17.7,11.8,,С 2023-11-29 по 2023-12-05
"Резинка жевательная МЕНТОС Нежная мята, 15,5г",43.2,28.8,,С 2023-11-29 по 2023-12-05
"Кофейный напиток NESCAFE® 3в1 Крепкий, 14,5г",17.9,11.4,,С 2023-11-29 по 2023-12-05
"Котлеты ДОМИЛЛЕ сочные, 560г",299.8,149.9,,С 2023-11-29 по 2023-12-05
"Жевательная резинка МЕНТОС виноград, 15,5г",43.2,28.8,,С 2023-11-29 по 2023-12-05
"Резинка жевательная МЕНТОС, Тутти фрутти, 16г",43.2,28.8,,С 2023-11-29 по 2023-12-05
"Резинка жевательная МЕНТОС арбуз, 15,5г",43.2,28.8,,С 2023-11-29 по 2023-12-05
"Вино ТОРРЕ ТАЛЛАДА, белое сухое, 0,75л",499.99,339.99,-32%,С 2023-11-15 по 2023-12-12
"Зубная щетка ORAL-B black всесторонняя чистка, средней жесткости",119.99,99.99,-17%,С 2023-09-20 по 2023-12-31
"Кислота лимонная БАКАЛЕЯ 101, 80г",74.7,49.8,,С 2023-11-22 по 2023-12-05
"Ванилин ХААС, 1,5г",7.2,4.8,,С 2023-11-22 по 2023-12-05
"Паста зубная BLEND-A-MED® Комплекс, 3D Вайт, Нежная мята, 100мл",242.99,199.99,-18%,С 2023-09-20 по 2023-12-31
"Мыло SAFEGUARD®, Классическое белое/Антибактериальное алоэ, 90г",108.99,78.99,-28%,С 2023-09-20 по 2023-12-31
"Жевательная резинка ДИРОЛ кокос-клубника, 13,6г",44.7,29.8,,С 2023-11-15 по 2023-12-12
"Жевательная резинка DIROL® клубника-черешня, 13,6г",44.7,29.8,,С 2023-11-15 по 2023-12-12
"Леденцы ХОЛЛС Ментол экстра, 24,5г",52.2,34.8,,С 2023-11-15 по 2023-12-12
"Жевательная резинка DIROL® со вкусом мяты, 13,6г",44.7,29.8,,С 2023-11-15 по 2023-12-12
"Резинка жевательная ДИРОЛ, Арбузно-дынный коктейль, 14г",44.7,29.8,,С 2023-11-15 по 2023-12-12
"Леденцы ХОЛЛС Колорс, 25г",52.2,34.8,,С 2023-11-15 по 2023-12-12
"Пюре ФРУТОНЯНЯ, Брокколи, 80г",59.7,39.8,,С 2023-11-15 по 2023-12-12
"Пюре ФРУТОНЯНЯ, Тыква, 80г",59.7,39.8,,С 2023-11-15 по 2023-12-12
"Конфеты МАМБА, жевательные, 26,5г",38.7,25.8,,С 2023-11-15 по 2023-12-12
"Пюре ФРУТОНЯНЯ, Кабачок, 80г",59.7,39.8,,С 2023-11-15 по 2023-12-12
"Пюре ФРУТОНЯНЯ морковь, 80г",59.7,39.8,,С 2023-11-15 по 2023-12-12
"Разрыхлитель для текста DR.OETKER, Д-р Эткер, 10г",13.2,8.8,,С 2023-11-15 по 2023-12-12
"Пюре САДЫ ПРИДОНЬЯ груша, с 4мес, 80г",46.5,34.9,,С 2023-11-15 по 2023-12-12
"Жевательная резинка ДИРОЛ Арбузная свежесть, 13,6г",44.7,29.8,,С 2023-11-15 по 2023-12-12
"Плод алк прод АРМЕНИЯ Гранат крас п/сл 0,75л (Армения):6",399.99,329.99,-18%,С 2023-11-15 по 2023-12-12
"Печенье MULINO BIANCO Галлетти, сахарное, 350г",265.99,169.99,-36%,С 2023-04-02 по 2024-01-30
"Вино КАХУРИ Цинандали белое сухое (Грузия), 0,75л",459.99,339.99,-26%,С 2023-11-15 по 2023-12-12
"Вино ШЕВАЛЬЕ ЛАКАССАН белое сухое (Франция), 0,75л",599.99,439.99,-27%,С 2023-11-15 по 2023-12-12
"Вино ШЕВАЛЬЕ ЛАКАССАН красное сухое (Франция), 0,75л",599.99,439.99,-27%,С 2023-11-15 по 2023-12-12
